대분류,ticker,담당자,종목명,종목설명,종목명(영문),S&P(max100),Sustainability(max50),msci,ISS,ESG기준원,ESG기준원_E,ESG기준원_S,ESG기준원_G,CDP(climate),크롤링,전처리1차,전처리2차,라벨링(적합도),라벨링(관련도),라벨링(긍부정도),스코어링,시총,시총순위,기사발생량,기사발생량순위
운송,A003490,지헌,대한항공,항공 운송 서비스 제공 | 국내 항공 시장에서 선도적 위치 | 항공 여행 수요 증가로 인한 성장 기대,,,,,,,,,,,24.05.01,,,,,,,7990000000000,48,14200,24.0
중공업,A010140,나연,삼성중공업,조선 및 해양 플랜트 건설 | 글로벌 조선 시장에서 상위권 위치 | 친환경 선박 수요 증가로 성장 가능성 큼,,,,,,,,,,,24.05.01,,,,,,,7530000000000,49,6150,40.0
헬스케어,A326030,지헌,SK바이오팜,신약 개발 및 제약 제품 제조 | 신경과학 분야에서 경쟁력 보유 | 글로벌 신약 시장 확대를 통한 성장 전망,,,,,,,,,,,24.05.01,,,,,,,7180000000000,51,2760,77.0
생활소비재,A090430,나연,아모레퍼시픽,화장품 및 미용 제품 제조 | 국내 화장품 시장에서 선도적 위치 | 해외 시장 확대를 통한 성장 가능성 큼,,68.0,29.5,,,,,,,,24.05.01,24.05.05,24.05.06,24.05.06,24.05.06,24.05.06,,7100000000000,52,1320,106.0
화학,A001570,지헌,금양,"발포제, 사카린, 이차전지 소재 및 원통형 배터리 제조 | 발포제 분야에서 오랜 경험과 기술력 보유, 이차전지 소재 및 원통형 배터리로 성장 동력 확보 | 이차전지 사업 성과에 따라 향후 실적 개선 기대",,,,,,,,,,,,,,,,,,6710000000000,54,300,145.0
차량,A161390,나연,한국타이어앤테크놀로지,타이어 제조 및 판매 | 글로벌 타이어 시장에서 상위권 위치 | 전기차 타이어 수요 증가로 성장 기대,,,,,,,,,,,24.05.01,,,,,,,6710000000000,53,436,137.0
운송,A086280,지헌,현대글로비스,물류 및 해운 서비스 제공 | 국내 물류 시장에서 선도적 위치 | 글로벌 물류 네트워크 확대를 통한 성장 전망,,,,,,,,,,,,,,,,,,6530000000000,56,396,140.0
전자,A267260,한재,HD현대일렉트릭,전력기기 및 에너지 솔루션 제공 | 전력기기 시장에서 경쟁력 보유 | 친환경 전력기기 수요 증가로 성장 기대,,,,,,,,,,,,,,,,,,6470000000000,57,511,133.0
헬스케어,A000100,지헌,유한양행,의약품 개발 및 생산 | 국내 의약품 시장에서 선도적 위치 | 신약 개발 및 해외 진출을 통한 성장 가능성 큼,,,,,,,,,,,,,,,,,,6150000000000,58,300,145.0
생활소비재,A051900,지헌,LG생활건강,"화장품, 생활용품, 음료 | 국내 화장품 시장 선두주자, 다양한 브랜드 포트폴리오 보유 | 중국 시장 회복에 따른 실적 개선 기대",,,,,,,,,,,24.05.01,,,,,,,5930000000000,59,9520,32.0
전자,A034220,해리,LG디스플레이,"디스플레이 패널 제조 | OLED 기술 선도, 글로벌 TV 패널 시장 주요 공급자 | OLED 수요 증가로 인한 실적 개선 전망",,,,,,,,,,,24.05.03,,,,,,,5380000000000,61,11000,30.0
미디어,A251270,해리,넷마블,"모바일 및 온라인 게임 개발 | 국내 게임 시장 상위권, 글로벌 시장 진출 확대 | 신작 게임 출시로 인한 매출 성장 기대",,,,,,,,,,,24.05.05,,,,,,,5340000000000,63,1700,94.0
전자,A361610,나연,SK아이이테크놀로지,"배터리 분리막 제조 | 고성능 배터리 분리막 기술 보유, 글로벌 전기차 배터리 시장 주요 공급자 | 전기차 시장 성장에 따른 수요 증가 예상",,,,,,,,,,,24.05.10,,,,,,,5220000000000,64,300,145.0
화학,A011170,한재,롯데케미칼,"석유화학 제품 제조 | 다양한 제품 포트폴리오, 아시아 시장에서의 강력한 입지 | 원자재 가격 변동에 따른 실적 변동 가능성",,,,,,,,,,,,,,,,,,5100000000000,65,1340,104.0
금융,A377300,해리,카카오페이,"모바일 결제 및 금융 서비스 | 국내 모바일 결제 시장 선두주자, 다양한 금융 서비스 제공 | 핀테크 시장 성장에 따른 사용자 증가 기대",,,,,,,,,,,24.05.01,,,,,,,5060000000000,66,2260,
중공업,A047810,한재,한국항공우주,"항공기 및 방위산업 제품 제조 | 국내 유일의 항공기 제조사, 방위산업 분야에서의 경쟁력 보유 | 수출 확대 및 방위산업 수요 증가로 인한 성장 전망",,,,,,,,,,,,,,,,,,5020000000000,67,5320,50.0
에너지,A009830,한재,한화솔루션,"태양광, 석유화학, 첨단소재 | 태양광 분야에서의 글로벌 경쟁력, 석유화학 제품 다양성 | 친환경 에너지 수요 증가로 인한 성장 기대",,,,,,,,,,,,,,,,,,4870000000000,69,3830,65.0
헬스케어,A302440,해리,SK바이오사이언스,"백신 및 바이오의약품 개발 | 국내 백신 개발 선두주자, 글로벌 시장 진출 모색 | 신규 백신 개발 및 수출 확대에 따른 성장 가능성",,,,,,,,,,,24.05.05,,,,,,,4710000000000,71,2960,76.0
지주사,A078930,해리,GS,"에너지, 유통, 건설 | 다양한 사업 포트폴리오, 에너지 분야에서의 강력한 입지 | 에너지 가격 변동에 따른 실적 변동 가능성",,,,,,,,,,,24.05.07,,,,,,,4480000000000,73,97400,6.0
생활소비재,A097950,지헌,CJ제일제당,"식품, 바이오, 사료 | 국내 식품 시장 선두주자, 바이오 분야에서의 경쟁력 보유 | 해외 시장 확대 및 신제품 출시로 인한 성장 기대",,,,,,,,,,,24.05.01,,,,,,,4430000000000,74,1440,100.0
미디어,A036570,나연,엔씨소프트,"온라인 및 모바일 게임 개발 | 국내 게임 시장 선두주자, 글로벌 시장에서의 인지도 보유 | 신작 게임 출시 및 해외 시장 확대에 따른 성장 전망",,,,,,,,,,,24.05.01,,,,,,,4360000000000,76,4410,58.0
정보기술,A032640,나연,LG유플러스,"통신 서비스 제공 | 국내 통신 3사 중 하나, 5G 서비스 확대 | 5G 가입자 증가로 인한 매출 성장 기대",,,,,,,,,,,24.05.03,,,,,,,4350000000000,77,4110,62.0
헬스케어,A128940,해리,한미약품,"의약품 개발 및 제조 | 국내 제약사 중 연구개발 투자 상위권, 글로벌 파트너십 다수 보유 | 신약 개발 성과에 따른 성장 가능성",,,,,,,,,,,24.05.08,,,,,,,4270000000000,78,7530,34.0
소재,A004020,한재,현대제철,"철강 제품 제조 | 국내 철강 시장 주요 기업, 다양한 제품 라인업 보유 | 건설 및 자동차 산업 회복에 따른 수요 증가 예상",,,,,,,,,,,,,,,,,,4240000000000,79,3060,73.0
생활소비재,A021240,나연,코웨이,"정수기, 공기청정기 등 생활가전 제조 및 렌탈 | 국내 렌탈 시장 선두주자, 해외 시장 진출 확대 | 신제품 출시 및 해외 시장 성장에 따른 매출 증가 기대",,,,,,,,,,,24.05.11,,,,,,,4130000000000,81,300,145.0
화학,A011780,나연,금호석유,"합성고무, 합성수지 등 석유화학 제품 제조 | 합성고무 분야에서의 글로벌 경쟁력 보유 | 원자재 가격 변동에 따른 실적 변동 가능성",,66.0,19.1,,,,,,,,24.05.01,24.05.05,24.05.05,24.05.06,24.05.06,24.05.06,,3880000000000,86,1060,113.0
지주사,A001040,한재,CJ,"식품, 물류, 엔터테인먼트 등 | 다양한 사업 포트폴리오, 각 분야에서의 경쟁력 보유 | 주요 계열사 실적 개선에 따른 성장 기대",,,,,,,,,,,,,,,,,,3790000000000,87,71800,8.0
건설,A000720,한재,현대건설,"건설 및 엔지니어링 | 국내 건설사 중 상위권, 해외 프로젝트 다수 수행 | 해외 수주 확대 및 국내 부동산 시장 회복에 따른 성장 전망",,,,,,,,,,,,,,,,,,3670000000000,89,39900,13.0
건설,A003410,한재,쌍용C&E,"시멘트 및 건설 자재 제조 | 국내 시멘트 시장 주요 기업, 친환경 제품 개발 | 건설 경기 회복에 따른 수요 증가 예상",,,,,,,,,,,,,,,,,,3490000000000,93,8120,33.0
차량,A018880,한재,한온시스템,"자동차 열관리 시스템 제조 | 글로벌 자동차 부품 시장에서의 경쟁력 보유, 주요 완성차 업체와의 협력 | 전기차 시장 성장에 따른 수요 증가 기대",,59.0,12.0,,,,,,,,24.05.02,24.05.05,24.05.05,24.05.06,24.05.06,24.05.06,,3130000000000,97,300,145.0
지주사,A004990,나연,롯데지주,"식품, 유통, 화학 등 계열사 지주회사 | 다양한 사업 포트폴리오, 계열사 간 시너지 효과 | 주요 계열사 실적 개선에 따른 성장 가능성",,,,,,,,,,,24.05.03,,,,,,,2850000000000,99,2300,83.0
운송,A000120,한재,CJ대한통운,"물류 및 택배 서비스 | 국내 물류 시장 선두주자, 글로벌 네트워크 보유 | 전자상거래 시장 성장에 따른 물류 수요 증가 예상",,,,,,,,,,,,,,,,,,2620000000000,103,300,145.0
화학,A036460,해리,한국가스공사,천연가스 수입 및 공급 | 국내 천연가스 시장 독점적 지위 보유 | 에너지 수요 증가에 따른 매출 성장 기대,,,,,,,,,,,24.05.15,,,,,,,2480000000000,108,5300,51.0
건설,A002380,한재,KCC,"건축 자재 및 산업용 소재 제조 | 국내 건축 자재 시장 주요 기업, 다양한 제품 라인업 | 건설 경기 회복에 따른 수요 증가 예상",,,,,,,,,,,,,,,,,,2310000000000,114,6020,42.0
생활소비재,A004370,해리,농심,"식품 제조 | 국내 라면 시장 선두주자, 글로벌 시장 진출 확대 | 해외 매출 성장 및 신제품 출시로 인한 매출 증가 기대",,,,,,,,,,,24.05.16,,,,,,,2240000000000,117,4500,57.0
운송,A028670,나연,팬오션,"해운 및 물류 서비스 | 국내 해운 시장 주요 기업, 글로벌 네트워크 보유 | 해운 운임 상승에 따른 실적 개선 전망",,,,,,,,,,,24.05.12,,,,,,,2210000000000,118,466,135.0
유통,A007070,나연,GS리테일,"편의점 및 유통 서비스 | 국내 편의점 시장 상위권, 다양한 유통 채널 보유 | 온라인 유통 강화 및 점포 확대에 따른 성장 기대",,,,,,,,,,,24.05.05,,,,,,,2130000000000,122,1650,95.0
유통,A023530,나연,롯데쇼핑,"백화점, 마트 등 유통 서비스 | 국내 유통 시장 주요 기업, 다양한 유통 채널 보유 | 오프라인 매장 회복 및 온라인 강화로 인한 실적 개선 예상",,,,,,,,,,,24.05.07,,,,,,,2040000000000,123,6050,41.0
유통,A282330,나연,BGF리테일,"편의점 운영 | 국내 편의점 시장 상위권, 브랜드 인지도 높음 | 점포 확대 및 상품 다양화로 인한 매출 성장 기대",,,,,,,,,,,24.05.08,,,,,,,2030000000000,124,411,138.0
유통,A139480,나연,이마트,"대형마트 및 온라인 유통 | 국내 대형마트 시장 선두주자, 온라인 사업 강화 | 온라인 매출 성장 및 오프라인 회복에 따른 실적 개선 전망",,,,,,,,,,,24.05.18,,,,,,,1890000000000,128,6150,40.0
유통,A111770,해리,영원무역,"의류 제조 및 수출 | 글로벌 아웃도어 브랜드와의 협력, OEM 생산 강점 | 해외 수요 증가에 따른 매출 성장 기대",,,,,,,,,,,24.05.17,,,,,,,1790000000000,130,526,131.0
차량,A073240,해리,금호타이어,"타이어 제조 | 국내 타이어 시장 주요 기업, 글로벌 시장 진출 | 자동차 산업 회복에 따른 수요 증가 예상",,,,,,,,,,,24.05.17,,,,,,,1690000000000,133,1580,97.0
건설,A042670,해리,HD현대인프라코어,"건설 장비 및 엔진 제조 | 국내 건설 장비 시장 주요 기업, 다양한 제품 라인업 | 인프라 투자 증가에 따른 수요 성장 예상",,,,,,,,,,,,,,,,,,1680000000000,134,300,145.0
유통,A004170,해리,신세계,"백화점 및 유통 서비스 | 국내 백화점 시장 선두주자, 다양한 브랜드 보유 | 소비 회복에 따른 매출 증가 기대",,,,,,,,,,,,,,,,,,1650000000000,135,4030,63.0
소재,A002710,해리,TCC스틸,"전기강판 및 금속 소재 제조 | 전기강판 분야에서의 기술력 보유, 국내 시장에서의 입지 | 전기차 및 전자제품 수요 증가에 따른 성장 전망",,,,,,,,,,,,,,,,,,1560000000000,141,202,153.0
소재,A298050,한재,효성첨단소재,산업용 섬유 및 첨단소재 제조 | 탄소섬유 등 첨단소재 분야에서의 경쟁력 보유 | 친환경 소재 수요 증가에 따른 성장 기대,,,,,,,,,,,,,,,,,,1530000000000,144,404,139.0
건설,A375500,한재,DL이앤씨,"건설 및 엔지니어링 | 국내 건설사 중 상위권, 다양한 프로젝트 수행 | 해외 수주 확대 및 국내 부동산 시장 회복에 따른 성장 전망",,,,,,,,,,,,,,,,,,1400000000000,157,844,121.0
지주사,A004800,나연,효성,"섬유, 화학, 중공업 등 | 다양한 사업 포트폴리오, 각 분야에서의 경쟁력 보유 | 주요 계열사 실적 개선에 따른 성장 기대",,,,,,,,,,,24.05.01,,,,,,,1340000000000,161,13000,26.0
정보기술,A001740,나연,SK네트웍스,"무역, 렌탈, 정보통신 등 | 다양한 사업 분야에서의 경험과 네트워크 보유 | 렌탈 사업 성장 및 신규 사업 확장에 따른 매출 증가 기대",,,,,,,,,,,24.05.09,,,,,,,1310000000000,162,1210,108.0
유통,A069960,나연,현대백화점,"백화점 및 유통 서비스 | 국내 백화점 시장 주요 기업, 프리미엄 브랜드 강화 | 소비 회복에 따른 매출 증가 예상",,36.0,21.1,,,,,,,,24.05.01,24.05.05,24.05.08,24.05.08,24.05.08,24.05.08,,1210000000000,169,1390,102.0
정보기술,A023590,해리,다우기술,IT 서비스 및 소프트웨어 개발 | 국내 IT 서비스 시장에서의 경쟁력 보유 | 클라우드 및 보안 서비스 수요 증가에 따른 성장 기대,,,,,,,,,,,,,,,,,,918000000000,182,339,144.0
운송,A020560,해리,아시아나항공,"항공 운송 서비스 | 국내 항공사 중 상위권, 다양한 국제 노선 보유 | 항공 수요 회복에 따른 실적 개선 전망",,,,,,,,,,,,,,,,,,822000000000,191,1140,111.0
생활소비재,A003380,나연,하림지주(코스닥),"식품 및 축산업 | 국내 축산업 선두주자, 다양한 식품 브랜드 보유 | 가공식품 수요 증가에 따른 매출 성장 기대",,,,,,,,,,,24.05.01,,,,,,,744000000000,222,300,145.0
운송,A005880,해리,대한해운,"해운 및 물류 서비스 | 국내 해운 시장 주요 기업, 글로벌 네트워크 보유 | 해운 운임 상승에 따른 실적 개선 전망",,,,,,,,,,,,,,,,,,599000000000,204,670,127.0
소재,A460860,나연,동국제강,"철강 제품 제조 | 국내 철강 시장 주요 기업, 다양한 제품 라인업 보유 | 건설 및 제조업 회복에 따른 수요 증가 예상",,,,,,,,,,,24.05.01,,,,,,,561000000000,205,300,145.0
지주사,A004690,나연,삼천리,"도시가스 공급 및 에너지 사업 | 국내 도시가스 시장 선두주자, 안정적인 공급망 보유 | 에너지 수요 증가에 따른 매출 성장 기대",,,,,,,,,,,24.05.01,,,,,,,380000000000,208,300,145.0
지주사,A006840,해리,AK홀딩스,"유통, 화학 등 계열사 지주회사 | 다양한 사업 포트폴리오, 계열사 간 시너지 효과 | 주요 계열사 실적 개선에 따른 성장 가능성",,,,,,,,,,,,,,,,,,200000000000,210,300,145.0
